               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15751,            0.018267,            0.055269,            0.012956,             0.20751,           0.0095104,           0.0021212,               0.128,            0.013356,            0.048421,              0.0004,              0.0004,              0.0964
                   1,             0.12445,            0.022604,              0.0495,             0.13797,             0.21166,             0.10578,            0.039516,             0.10628,            0.016071,            0.042016,          0.00080996,          0.00080996,             0.09271
                   2,             0.10435,            0.028968,            0.043745,             0.53586,             0.31697,             0.31955,             0.10265,             0.10496,            0.014755,            0.036234,           0.0012197,           0.0012197,             0.08902
                   3,            0.098611,            0.028203,            0.037733,             0.48698,             0.33133,             0.34329,             0.10822,            0.099835,            0.014789,            0.029634,           0.0016292,           0.0016292,            0.085329
                   4,            0.097353,            0.026857,            0.031519,             0.75577,              0.4316,             0.45959,             0.19775,            0.097571,            0.013451,             0.02428,           0.0020382,           0.0020382,            0.081638
                   5,            0.095771,            0.025613,             0.02808,             0.68739,             0.36806,             0.37888,             0.15169,            0.091751,            0.013075,            0.021498,           0.0024466,           0.0024466,            0.077947
                   6,            0.094688,            0.024311,            0.023355,             0.61729,             0.52123,             0.51236,             0.22095,            0.093659,            0.012057,            0.018877,           0.0028543,           0.0028543,            0.074254
                   7,             0.09302,            0.023461,            0.020117,              0.4501,             0.59798,             0.52867,             0.22757,            0.094845,            0.011259,            0.016404,           0.0032611,           0.0032611,            0.070561
                   8,            0.090934,            0.022793,            0.019378,             0.66588,             0.55602,              0.5867,             0.25241,            0.094328,            0.010909,            0.018702,           0.0036669,           0.0036669,            0.066867
                   9,            0.089388,            0.022392,            0.017902,             0.55009,             0.49252,             0.50094,             0.17382,             0.10166,            0.010207,            0.016183,           0.0040716,           0.0040716,            0.063172
                  10,            0.087784,            0.022933,            0.016658,             0.68682,             0.60955,             0.66245,             0.32239,            0.079693,            0.012645,            0.017068,           0.0044751,           0.0044751,            0.059475
                  11,             0.08609,            0.022388,            0.016383,             0.69277,             0.59237,             0.64429,             0.32606,            0.082411,            0.012041,            0.015279,           0.0048771,           0.0048771,            0.055777
                  12,            0.095452,            0.020382,            0.016132,             0.67096,             0.59298,             0.65614,             0.32608,            0.086679,            0.011279,            0.014651,           0.0052776,           0.0052776,            0.052078
                  13,            0.094082,             0.02054,            0.015872,             0.69059,             0.53228,             0.60542,             0.29278,            0.087498,            0.011331,            0.015716,           0.0056764,           0.0056764,            0.048376
                  14,            0.092169,            0.021272,            0.015211,             0.71887,             0.58204,              0.6591,             0.30453,            0.087845,            0.011436,            0.016866,           0.0060735,           0.0060735,            0.044673
                  15,            0.090454,            0.021893,            0.016176,             0.68534,             0.62831,             0.66839,             0.34504,            0.077448,            0.012972,            0.015598,           0.0064686,           0.0064686,            0.040969
